something
0 0.0343763485633 0.0687526971266 0.10312904569 0.137166283977 0.171203522263 0.20524076055 0.239594832455 0.273948904359 0.308302976264 0.342372378286 0.376441780308 0.410511182331 0.444824294648 0.479137406965 0.513450519283 0.557567694244 0.601684869206 0.64069965122 0.679714433234 0.718729215248 0.752852257882 0.786975300517 0.821098343151 0.855399054758 0.889699766365 0.924000477972 0.958145393253 0.992290308533 1.02643522381 1.06074116802 
31.898 32.253 32.608 32.963 33.318 33.673 34.028 34.383 34.738 35.093 35.448 35.803 36.158 36.513 36.868 37.223 37.578 37.933 38.288 38.643 38.998 39.353 39.708 40.063 40.418 40.773 41.128 41.483 41.838 42.193 42.548 
time point_ID psi phi j_tor b_field_r b_field_z b_field_tor 
0 1462 -5.92443878892 -1e+37 0.0 0.0411952944842 -0.00573079173042 3.56251076431 
0 1423 -5.93445934583 -1e+37 0.0 0.0419354224954 -0.0357842644789 3.60908188398 
0 1445 -5.93635387129 -1e+37 0.0 0.0131976383359 -0.0557841321151 3.63429936361 
0 1461 -5.94960528042 -1e+37 0.0 0.0644386327422 0.00982792149582 3.53626982267 
0 1344 -5.97111059914 -1e+37 0.0 0.0150573833612 -0.0840141888228 3.6793367173 
0 1435 -5.97726991882 -1e+37 0.0 0.0716327892008 0.0305117042585 3.4939290302 
0 1440 -6.01198878895 -1e+37 0.0 -0.00748186533836 -0.0972590320294 3.72407114447 
0 1725 -6.01904623814 -1e+37 0.0 0.0754254246334 0.0502941164153 3.45148696356 
0 1724 -6.07755924981 -1e+37 0.0 0.0765912021901 0.0531163974342 3.42428739145 
0 1232 -6.15117424701 -1e+37 0.0 0.0674123026754 0.0471308660999 3.38896432393 
0 1319 -6.18121006037 -1e+37 0.0 0.0527252894866 0.0478718018495 3.3493922714 
0 1289 -6.21472252372 2.19058949074 183955.020019 0.0316311971626 0.0285983226313 3.32392559835 
0 1716 -6.23509463489 1.49404354713 311101.590729 0.0263225170789 0.0175282127739 3.33758590797 
0 1717 -6.24476377941 1.10592116419 -35894.662478 0.015825517213 0.0122941423194 3.30144739215 
0 1136 -6.24926780424 0.868806173279 -258455.295823 0.000648254463443 0.00201581545213 3.27152427331 
0 1218 -6.24725756921 0.971261873126 -171334.34432 -0.00963473624984 -0.00653251369647 3.2377016383 
0 1286 -6.23617062089 1.45492948251 252437.703888 -0.0152591107584 -0.0122919355337 3.18792001547 
0 1213 -6.22295086261 1.91329063938 379951.773952 -0.0192720070583 -0.0155648374951 3.17246627102 
0 853 -6.21043504869 2.33509791392 15493.8474983 -0.0221750715745 -0.0166295120517 3.16930448151 
0 1165 -6.19231380122 -1e+37 0.0 -0.0222041242644 -0.0168204877382 3.13140183943 
0 1166 -6.17789816722 -1e+37 0.0 -0.022695415691 -0.0155712498876 3.12288943237 
0 1164 -6.16313483706 -1e+37 0.0 -0.0211084810804 -0.0150381458693 3.09980540094 
0 1169 -6.14472376374 -1e+37 0.0 -0.019989099009 -0.013662022587 3.06574900357 
0 744 -6.12446999975 -1e+37 0.0 -0.0185629792747 -0.01230892025 3.03107033753 
0 856 -6.10979779668 -1e+37 0.0 -0.0174269544529 -0.0111652070146 2.99768489848 
0 758 -6.09453567977 -1e+37 0.0 -0.0167448234861 -0.0100091518299 2.97818893502 
0 854 -6.08743025614 -1e+37 0.0 -0.0155500469238 -0.00940146675481 2.94559568182 
0 188 -6.07593082811 -1e+37 0.0 -0.0145810342282 -0.00849852627277 2.92668296969 
0 580 -6.06680524738 -1e+37 0.0 -0.0141718278639 -0.00739720697863 2.91814312112 
0 218 -6.06232172419 -1e+37 0.0 -0.0127166183799 -0.0069777152839 2.8918059434 
0 133 -6.04924885954 -1e+37 0.0 -0.012696747119 -0.00599369585818 2.86920386393 
1 1462 -6.18047794376 0.116323004032 1874762.46914 0.0416004459559 -0.120643900091 3.57650697746 
1 1423 -6.23484084191 0.054317353919 2039088.02608 0.042917090738 -0.0847922411066 3.62469301571 
1 1445 -6.22832982759 0.0618848907964 2023319.9331 0.0842407939769 -0.0572611479463 3.64984133479 
1 1461 -6.14966318907 0.153643833259 1782295.05535 0.00648087032371 -0.139633177697 3.54941303347 
1 1344 -6.24124532806 0.0467546573596 2067208.33009 0.0817127184447 -0.00884057239408 3.6954307243 
1 1435 -6.07324467637 0.249592968334 1557775.41723 -0.0116107847476 -0.161750116091 3.50521673625 
1 1440 -6.20584414287 0.0872467721018 1969598.72635 0.114848550413 0.0227292234949 3.73937813269 
1 1725 -5.97544464279 0.381042479317 1277221.69173 -0.0303812882482 -0.182616852564 3.46077461232 
1 1724 -5.88668456088 0.510545141409 1031815.58579 -0.0561205308458 -0.190381136639 3.43209348076 
1 1232 -5.75168525832 0.731598151879 683234.745174 -0.0790178640264 -0.189903821355 3.39503664478 
1 1319 -5.64271158582 0.937292845237 431729.274108 -0.0705017824404 -0.190340665727 3.35445426607 
